Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
2014,14.6,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0
2014,17.8,0,0,0,0,0,0,26.104,0,0,0,0,0,0,0,1344
2014,10.92,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,3948
2014,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,2225
2014,3.6,0,0,0,0,0,0,25.1,0,0,0,0,0,0,0,5963
2014,9.28,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4934
2014,9.68,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3415
2014,9.68,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3893
2014,10.9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3359
2014,10.4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2538
2014,3.68,0,0,0,0,0,0,37,0,0,0,0,0,0,0,5125
2014,9.44,0,0,0,0,0,0,37.8,0,0,0,0,0,0,0,5077
2014,6.66,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5265
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,11.84,0,0,0,0,0,0,40,0,0,0,0,0,0,0,6650
2014,3.18,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3597
2014,6.54,0,0,0,0,0,0,40,0,0,0,0,0,0,0,8240
2014,6.74,0,0,0,0,0,0,35,0,0,0.46,0,0,0,0,6577
2014,6.46,0,0,0,0,0,0,40,0,0,0,0,0,0,0,6412
2014,3.5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,6793
2014,3.68,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3423
2014,6.44,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5527
2014,12.74,0,0,0,0,0,0,32,0,0,0,0,0,0,7.8,7444
2014,14.52,0,0,0,0,0,0,40,0,0,0,0,0,0,10.4,9175
2014,6.22,0,0,0,0,0,0,40,0,0,0,0,0,0,15.4,10550
2014,9.24,0,0,0,0,0,0,40,0,0,0,0,0,0,20,9824
2014,10.42,0,0,0,0,0,0,40,0,0,0,0,0,0,7.3,0
2014,11.98,0,0,0,0,0,0,40,0,0,0,0,0,0,0,13507
2014,11.76,0,0,0,0,0,0,40,0,0,0,0,0,0,0,8835
2014,14.85,0,0,0,0,0,0,36,0,0,0,0,0,0,15,8875
2014,6.1,0,0,0,0,0,0,20,0,0,0,0,0,0,30,12212
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8.1,4661
2014,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,4659
2014,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,6131
2014,6.4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4967
